Company Name,Funded Date,Funded Amount,Fund Type,Company Linkedin Url,Website,Industries
Ticket9,2024-09-18,,Undisclosed,https://www.linkedin.com/company/theticket9,https://theticket9.com,AI
Watch Your Health,2024-07-02,417000000,Series A,https://www.linkedin.com/company/watch-your-health,https://www.watchyourhealth.com,AI
Up,2024-07-18,,Non-equity Assistance,http://www.linkedin.com/company/react-labs-pvt-ltd,https://www.upliance.ai,AI
MyCaptain,2024-03-07,140000000,Seed,https://www.linkedin.com/company/mycaptain-in,https://www.mycaptain.in/,AI
PrivaSapien,2024-07-18,,Non-equity Assistance,https://www.linkedin.com/company/privasapien/,https://www.privasapien.com/,AI
FlexifyMe,2024-01-10,100000000,Seed,https://www.linkedin.com/company/flexifyme/,https://www.flexifyme.com/,AI
Kuhoo,2022-03-01,1500000000,Seed,https://www.linkedin.com/company/kuhoo-edufintech,https://kuhoo.com/,AI
Circuit House Technologies,2024-07-11,360000000,Seed,https://www.linkedin.com/company/circuit-house-tech,https://circuithouse.tech,AI
Gullak.Money,2023-01-19,244000000,Seed,https://www.linkedin.com/company/gullak-money,https://gullak.money,AI
Matrix Gas & Renewables,2024-03-06,3500000000,Venture - Series Unknown,https://www.linkedin.com/company/matrix-gas-and-renewables,https://www.matrixgas.in,AI
Hippo Innovations Pvt LTD,2024-07-31,33000000,Seed,https://www.linkedin.com/company/hippoinnovations/,https://www.hippoinnovations.com/,AI
Tailcall,2024-10-22,3000000,Seed,https://www.linkedin.com/company/tailcall,https://tailcall.run,AI
Stylework Innovation Hub,2024-05-16,10000000,Series A,https://www.linkedin.com/company/style-work/,https://www.stylework.city/,AI
Tuco Intelligent,2024-09-24,167000000,Seed,https://www.linkedin.com/company/beintelligent/,https://beintelligent.in/,AI
Meolaa,2023-10-10,166000000,Seed,https://www.linkedin.com/company/meolaa,https://meolaa.com,AI
Hitwicket,2024-04-02,,Angel,https://www.linkedin.com/company/2231461/admin/,https://hitwicket.com/,AI
PYOR,2023-05-18,330000000,Seed,https://www.linkedin.com/company/pyorxyz/,https://www.pyor.xyz,AI
Wootz.work,2023-08-22,290000000,Seed,https://www.linkedin.com/company/wootz-work,https://www.wootz.work,AI
infinyte.club,2024-08-12,302000000,Seed,https://www.linkedin.com/company/infinyte-club,https://www.infinyte.club,AI
Honestly,2024-07-18,32000000,Pre-Seed,https://www.linkedin.com/company/honestlyclub,https://www.honestly.club,AI
VECROS,2024-08-26,,Seed,https://www.linkedin.com/company/vecros/,https://www.vecros.com,AI
3SC,2024-05-13,310000000,Venture - Series Unknown,https://www.linkedin.com/company/ss-supply-chain-solution,https://3scsolution.com,AI
Zippee,2023-06-28,1600000,Seed,https://www.linkedin.com/company/zippee,https://zippee.delivery,AI
Tap Invest,2023-10-18,2000000,Seed,https://www.linkedin.com/company/leafround,https://tapinvest.in,AI
Nestasia,2024-09-10,700000000,Venture - Series Unknown,https://www.linkedin.com/company/nestasia/,https://nestasia.in/,AI
Skye Air Mobility,2024-06-11,4000000,Series A,https://www.linkedin.com/company/skyeairmobility,https://skyeair.tech,AI
Walko,2024-02-21,1658000000,Series B,https://www.linkedin.com/company/walko-food-company-private-limited,https://walkofood.com/,AI
Mesa School of Business,2023-04-20,340000000,Seed,https://www.linkedin.com/company/mesa-school-of-business,https://www.mesaschool.co,AI
Inspecity,2024-01-01,,Seed,https://www.linkedin.com/company/inspecity,https://www.inspecity.com,AI
Chargeup,2024-08-31,10200000,Non-equity Assistance,https://www.linkedin.com/company/chargeup-solutions-pvt-ltd,https://echargeup.com,AI
